Energy,Post,Comment,Cleaned_Comment,Token_Count,Sentiment,Sentiment_Mapped,reasons
Nuclear,"Nuclear Power Corporation of India Limited - NPCIL has commenced the Initial Fuel Loading (IFL) in Unit-7 of the Rajasthan Atomic Power Project. This significant milestone brings us a step closer to enhancing our nuclear power capabilities and contributing to a cleaner, sustainable future.","Very nice, proud moment to witness the historical act .","Very nice, proud moment to witness the historical act .",11,LABEL_2,POSITIVE,not-defined
Nuclear,"Kakrapar Atomic Power Station Unit-4 (KAPP-4) Achieves Full Power OperationKAPP-4 has successfully commenced operation at its full capacity of 700 MWe today. This marks a significant milestone following the reactor's first criticality on December 17 last year and the start of its commercial operations on March 31 this year.The twin units, KAPP-3 and KAPP-4, of the Nuclear Power Corporation of India Limited - NPCIL at Kakrapar in Gujarat are the largest indigenously built … See more",Congratulations to the team,Congratulations to the team,4,LABEL_2,POSITIVE,not-defined
Nuclear,"Kakrapar Atomic Power Station Unit-4 (KAPP-4) Achieves Full Power OperationKAPP-4 has successfully commenced operation at its full capacity of 700 MWe today. This marks a significant milestone following the reactor's first criticality on December 17 last year and the start of its commercial operations on March 31 this year.The twin units, KAPP-3 and KAPP-4, of the Nuclear Power Corporation of India Limited - NPCIL at Kakrapar in Gujarat are the largest indigenously built … See more","Hearty Congratulations to the NPCIL Team from a retired person, who had occasion to work both at NAPP and in PPED for three years each.","Hearty Congratulations to the NPCIL Team from a retired person, who had occasion to work both at NAPP and in PPED for three years each.",27,LABEL_2,POSITIVE,technological_shortcomings
Nuclear,"Kakrapar Atomic Power Station Unit-4 (KAPP-4) Achieves Full Power OperationKAPP-4 has successfully commenced operation at its full capacity of 700 MWe today. This marks a significant milestone following the reactor's first criticality on December 17 last year and the start of its commercial operations on March 31 this year.The twin units, KAPP-3 and KAPP-4, of the Nuclear Power Corporation of India Limited - NPCIL at Kakrapar in Gujarat are the largest indigenously built … See more",Congratulations to all in NPC AND DAE Units!!!,Congratulations to all in NPC AND DAE Units!!!,11,LABEL_2,POSITIVE,technological_shortcomings
Nuclear,"Kakrapar Atomic Power Station Unit-4 (KAPP-4) Achieves Full Power OperationKAPP-4 has successfully commenced operation at its full capacity of 700 MWe today. This marks a significant milestone following the reactor's first criticality on December 17 last year and the start of its commercial operations on March 31 this year.The twin units, KAPP-3 and KAPP-4, of the Nuclear Power Corporation of India Limited - NPCIL at Kakrapar in Gujarat are the largest indigenously built … See more",But the CSR money is not given in the development work in the affected village.,But the CSR money is not given in the development work in the affected village.,16,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"Kakrapar Atomic Power Station Unit-4 (KAPP-4) Achieves Full Power OperationKAPP-4 has successfully commenced operation at its full capacity of 700 MWe today. This marks a significant milestone following the reactor's first criticality on December 17 last year and the start of its commercial operations on March 31 this year.The twin units, KAPP-3 and KAPP-4, of the Nuclear Power Corporation of India Limited - NPCIL at Kakrapar in Gujarat are the largest indigenously built … See more","Congratulations, keep it up, Team KAPP.","Congratulations, keep it up, Team KAPP.",9,LABEL_2,POSITIVE,technological_shortcomings
Nuclear,"Kakrapar Atomic Power Station Unit-4 (KAPP-4) Achieves Full Power OperationKAPP-4 has successfully commenced operation at its full capacity of 700 MWe today. This marks a significant milestone following the reactor's first criticality on December 17 last year and the start of its commercial operations on March 31 this year.The twin units, KAPP-3 and KAPP-4, of the Nuclear Power Corporation of India Limited - NPCIL at Kakrapar in Gujarat are the largest indigenously built … See more",Why e is added in MW?,Why e is added in MW?,7,LABEL_1,NEUTRAL,technological_shortcomings
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Looks like the solar panels have covered up all the fields where food could be grown.,Looks like the solar panels have covered up all the fields where food could be grown.,17,LABEL_1,NEUTRAL,technological_shortcomings
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",please explain how the solar panels generate electricity 24 hours a day ? that’s a new one.,please explain how the solar panels generate electricity 24 hours a day ? that’s a new one.,20,LABEL_1,NEUTRAL,not-defined
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","How many people could be living in this valuable real estate? Or how many crops could be grown?  Where are they diposing of the old cells?  If they are running even when dark, what type batteries, where are they mined and where disposed of.","How many people could be living in this valuable real estate? Or how many crops could be grown?  Where are they diposing of the old cells?  If they are running even when dark, what type batteries, where are they mined and where disposed of.",50,LABEL_1,NEUTRAL,infrastructure
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","That's over 30 acres for a small  village.  A community like Santa Paula, with about 30,000 residents would need about 125 acres of solar panels, and a significant number of rooftop installations.  A city the size of Ventura, with about 120,000 residents would need considerably more that 500 acres of solar panels!  If we aren't going to eliminate all household electricity so we can  divert that power to EVs, we need to start concentrating on nuclear power plants.","That's over 30 acres for a small  village.  A community like Santa Paula, with about 30,000 residents would need about 125 acres of solar panels, and a significant number of rooftop installations.  A city the size of Ventura, with about 120,000 residents would need considerably more that 500 acres of solar panels!  If we aren't going to eliminate all household electricity so we can  divert that power to EVs, we need to start concentrating on nuclear power plants.",88,LABEL_1,NEUTRAL,infrastructure
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",More and more places should be self reliant by implementing the same Solar Power projects.,More and more places should be self reliant by implementing the same Solar Power projects.,16,LABEL_1,NEUTRAL,technological_shortcomings
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","How does this help the Untouchables, who make $2/day?","How does this help the Untouchables, who make $2/day?",12,LABEL_1,NEUTRAL,technological_shortcomings
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",It's okay to have rooftops with solar panels but to put solar panels on the ground where you can grow food is foolish... put them in sahara or odter deserts.. near the equator there is aproximately 1 kw sunlight per square meter almost perpendicular  ...,It's okay to have rooftops with solar panels but to put solar panels on the ground where you can grow food is foolish... put them in sahara or odter deserts.. near the equator there is aproximately 1 kw sunlight per square meter almost perpendicular  ...,48,LABEL_1,NEUTRAL,infrastructure
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Hope they get paid more for the energy they put back into the grid than we do here in New Zealand!!!,Hope they get paid more for the energy they put back into the grid than we do here in New Zealand!!!,24,LABEL_1,NEUTRAL,technological_shortcomings
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","Yes... solar power. The most important part of the video is that with all those solar panels they managed to satisfy the need of 7000, yes ONLY SEVEN THOUSAND people. Do the math how many acres of solar power they need for a town of 100000 let alone cities of millions.","Yes... solar power. The most important part of the video is that with all those solar panels they managed to satisfy the need of 7000, yes ONLY SEVEN THOUSAND people. Do the math how many acres of solar power they need for a town of 100000 let alone cities of millions.",56,LABEL_2,POSITIVE,infrastructure
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Our rulers are too busy collecting wealth,Our rulers are too busy collecting wealth,7,LABEL_0,NEGATIVE,not-defined
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",The challenge is to find large opened emptied lands to install the panels which is hard to find in my country nowadays,The challenge is to find large opened emptied lands to install the panels which is hard to find in my country nowadays,22,LABEL_1,NEUTRAL,not-defined
Solar,"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Very futuristic.,Very futuristic.,3,LABEL_2,POSITIVE,not-defined
