Energy,Post,Comment,Cleaned_Comment,Token_Count,Sentiment,Sentiment_Mapped,reasons
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more","Tchernobyl, Fukushima, everlasting nuclear waste.... it's time to shut it all down and invest in green energies!","Tchernobyl, Fukushima, everlasting nuclear waste.... it's time to shut it all down and invest in green energies!",22,LABEL_0,NEGATIVE,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more","Odd how the former Soviet countries are counted separately even before 1991. That means you need to look at the Ukraine bar to see the drop in production after the Chernobyl accident, and it wasn't all that much. The post-Fukushima drop in Japan is much more dramatic, as they shut down all of their plants after it. I cannot take seriously anyone who excludes nuclear energy as a tool in our strategies to mitigate climate change: nuclear's carbon emissions are negligible compared to fossil fuels and it will serve as a useful bridge/fallback in situations where wind and solar are not available. The occasional accidents are certainly concerning, and Chernobyl was a huge near-miss in terms of the potential for widespread ecological damage (watch the excellent HBO miniseries to learn about this), but the benefits far outweigh the drawbacks when considering the havoc climate change will cause if serious mitigation policies are not implemented soon. ","Odd how the former Soviet countries are counted separately even before 1991. That means you need to look at the Ukraine bar to see the drop in production after the Chernobyl accident, and it wasn't all that much. The post-Fukushima drop in Japan is much more dramatic, as they shut down all of their plants after it. I cannot take seriously anyone who excludes nuclear energy as a tool in our strategies to mitigate climate change: nuclear's carbon emissions are negligible compared to fossil fuels and it will serve as a useful bridge/fallback in situations where wind and solar are not available. The occasional accidents are certainly concerning, and Chernobyl was a huge near-miss in terms of the potential for widespread ecological damage (watch the excellent HBO miniseries to learn about this), but the benefits far outweigh the drawbacks when considering the havoc climate change will cause if serious mitigation policies are not implemented soon. ",170,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Cleanest energy out there. Go look at the fax go look at Europe and the rest of the world they are all building nuclear plants. What is wrong with you.,Cleanest energy out there. Go look at the fax go look at Europe and the rest of the world they are all building nuclear plants. What is wrong with you.,33,LABEL_0,NEGATIVE,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",At least it is carbon free,At least it is carbon free,6,LABEL_2,POSITIVE,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Was no Russia at 1966.,Was no Russia at 1966.,6,LABEL_1,NEUTRAL,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",UK recognised importance of nuclear energy first.. And start good.. After then France increase and then USA and Russia.. USA takes the lead,UK recognised importance of nuclear energy first.. And start good.. After then France increase and then USA and Russia.. USA takes the lead,26,LABEL_2,POSITIVE,financial_constraints
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more","Before 1991 it was Soviet Union, but on this video, its divided to different countries, which appears after 1991 only. Much more interesting would be to see number of reactors in use by their producers.","Before 1991 it was Soviet Union, but on this video, its divided to different countries, which appears after 1991 only. Much more interesting would be to see number of reactors in use by their producers.",40,LABEL_2,POSITIVE,infrastructure
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more","The graphic displays are quite interesting, but I wish they had been recorded in a much cleaner way, it is hard to read a lot of the names of the nations.","The graphic displays are quite interesting, but I wish they had been recorded in a much cleaner way, it is hard to read a lot of the names of the nations.",34,LABEL_2,POSITIVE,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more","It would be more informative if it were measured per capita. A small country only needs a small production, after all!","It would be more informative if it were measured per capita. A small country only needs a small production, after all!",24,LABEL_1,NEUTRAL,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more","Wanna save some woods.....for the same amount of energy output, It takes up less space to build a nuclear power plant than it does for a solar farm and wind farm","Wanna save some woods.....for the same amount of energy output, It takes up less space to build a nuclear power plant than it does for a solar farm and wind farm",35,LABEL_1,NEUTRAL,financial_constraints
