Category: All categories

Month,renewable energy: (Australia)
2004-01,28
2004-02,70
2004-03,72
2004-04,70
2004-05,79
2004-06,100
2004-07,61
2004-08,81
2004-09,92
2004-10,77
2004-11,76
2004-12,41
2005-01,43
2005-02,39
2005-03,63
2005-04,46
2005-05,71
2005-06,65
2005-07,67
2005-08,85
2005-09,81
2005-10,77
2005-11,61
2005-12,28
2006-01,31
2006-02,44
2006-03,56
2006-04,48
2006-05,74
2006-06,64
2006-07,45
2006-08,74
2006-09,63
2006-10,72
2006-11,76
2006-12,26
2007-01,36
2007-02,58
2007-03,63
2007-04,49
2007-05,86
2007-06,68
2007-07,48
2007-08,78
2007-09,72
2007-10,72
2007-11,77
2007-12,38
2008-01,37
2008-02,44
2008-03,58
2008-04,58
2008-05,74
2008-06,59
2008-07,61
2008-08,69
2008-09,68
2008-10,76
2008-11,68
2008-12,40
2009-01,35
2009-02,52
2009-03,70
2009-04,64
2009-05,83
2009-06,74
2009-07,60
2009-08,97
2009-09,87
2009-10,80
2009-11,80
2009-12,42
2010-01,34
2010-02,68
2010-03,70
2010-04,63
2010-05,90
2010-06,77
2010-07,52
2010-08,78
2010-09,72
2010-10,73
2010-11,64
2010-12,32
2011-01,28
2011-02,40
2011-03,56
2011-04,49
2011-05,68
2011-06,61
2011-07,51
2011-08,65
2011-09,56
2011-10,55
2011-11,55
2011-12,24
2012-01,23
2012-02,36
2012-03,46
2012-04,36
2012-05,66
2012-06,49
2012-07,39
2012-08,54
2012-09,50
2012-10,49
2012-11,47
2012-12,21
2013-01,20
2013-02,30
2013-03,37
2013-04,34
2013-05,49
2013-06,42
2013-07,34
2013-08,49
2013-09,48
2013-10,41
2013-11,43
2013-12,18
2014-01,19
2014-02,33
2014-03,41
2014-04,37
2014-05,52
2014-06,50
2014-07,46
2014-08,61
2014-09,56
2014-10,52
2014-11,57
2014-12,22
2015-01,17
2015-02,32
2015-03,46
2015-04,43
2015-05,54
2015-06,55
2015-07,46
2015-08,64
2015-09,52
2015-10,51
2015-11,53
2015-12,28
2016-01,21
2016-02,33
2016-03,39
2016-04,41
2016-05,55
2016-06,64
2016-07,46
2016-08,48
2016-09,46
2016-10,53
2016-11,52
2016-12,26
2017-01,25
2017-02,46
2017-03,54
2017-04,43
2017-05,59
2017-06,51
2017-07,39
2017-08,55
2017-09,55
2017-10,58
2017-11,52
2017-12,24
2018-01,26
2018-02,35
2018-03,41
2018-04,40
2018-05,53
2018-06,43
2018-07,35
2018-08,54
2018-09,49
2018-10,46
2018-11,55
2018-12,26
2019-01,22
2019-02,37
2019-03,50
2019-04,42
2019-05,68
2019-06,56
2019-07,41
2019-08,57
2019-09,62
2019-10,54
2019-11,53
2019-12,29
2020-01,39
2020-02,48
2020-03,39
2020-04,37
2020-05,60
2020-06,57
2020-07,38
2020-08,55
2020-09,57
2020-10,49
2020-11,47
2020-12,25
2021-01,26
2021-02,40
2021-03,36
2021-04,35
2021-05,47
2021-06,42
2021-07,34
2021-08,42
2021-09,41
2021-10,46
2021-11,44
2021-12,22
2022-01,23
2022-02,41
2022-03,56
2022-04,45
2022-05,68
2022-06,66
2022-07,46
2022-08,63
2022-09,53
2022-10,59
2022-11,59
2022-12,27
2023-01,26
2023-02,41
2023-03,55
2023-04,43
2023-05,60
2023-06,53
2023-07,45
2023-08,62
2023-09,52
2023-10,58
2023-11,56
2023-12,28
2024-01,28
2024-02,53
2024-03,55
2024-04,53
2024-05,67
2024-06,69
2024-07,53
2024-08,62
2024-09,61
2024-10,48
