Year,Month,renewable_energy
2004,January,28
2004,February,70
2004,March,72
2004,April,70
2004,May,79
2004,June,100
2004,July,61
2004,August,81
2004,September,92
2004,October,77
2004,November,76
2004,December,41
2005,January,43
2005,February,39
2005,March,63
2005,April,46
2005,May,71
2005,June,65
2005,July,67
2005,August,85
2005,September,81
2005,October,77
2005,November,61
2005,December,28
2006,January,31
2006,February,44
2006,March,56
2006,April,48
2006,May,74
2006,June,64
2006,July,45
2006,August,74
2006,September,63
2006,October,72
2006,November,76
2006,December,26
2007,January,36
2007,February,58
2007,March,63
2007,April,49
2007,May,86
2007,June,68
2007,July,48
2007,August,78
2007,September,72
2007,October,72
2007,November,77
2007,December,38
2008,January,37
2008,February,44
2008,March,58
2008,April,58
2008,May,74
2008,June,59
2008,July,61
2008,August,69
2008,September,68
2008,October,76
2008,November,68
2008,December,40
2009,January,35
2009,February,52
2009,March,70
2009,April,64
2009,May,83
2009,June,74
2009,July,60
2009,August,97
2009,September,87
2009,October,80
2009,November,80
2009,December,42
2010,January,34
2010,February,68
2010,March,70
2010,April,63
2010,May,90
2010,June,77
2010,July,52
2010,August,78
2010,September,72
2010,October,73
2010,November,64
2010,December,32
2011,January,28
2011,February,40
2011,March,56
2011,April,49
2011,May,68
2011,June,61
2011,July,51
2011,August,65
2011,September,56
2011,October,55
2011,November,55
2011,December,24
2012,January,23
2012,February,36
2012,March,46
2012,April,36
2012,May,66
2012,June,49
2012,July,39
2012,August,54
2012,September,50
2012,October,49
2012,November,47
2012,December,21
2013,January,20
2013,February,30
2013,March,37
2013,April,34
2013,May,49
2013,June,42
2013,July,34
2013,August,49
2013,September,48
2013,October,41
2013,November,43
2013,December,18
2014,January,19
2014,February,33
2014,March,41
2014,April,37
2014,May,52
2014,June,50
2014,July,46
2014,August,61
2014,September,56
2014,October,52
2014,November,57
2014,December,22
2015,January,17
2015,February,32
2015,March,46
2015,April,43
2015,May,54
2015,June,55
2015,July,46
2015,August,64
2015,September,52
2015,October,51
2015,November,53
2015,December,28
2016,January,21
2016,February,33
2016,March,39
2016,April,41
2016,May,55
2016,June,64
2016,July,46
2016,August,48
2016,September,46
2016,October,53
2016,November,52
2016,December,26
2017,January,25
2017,February,46
2017,March,54
2017,April,43
2017,May,59
2017,June,51
2017,July,39
2017,August,55
2017,September,55
2017,October,58
2017,November,52
2017,December,24
2018,January,26
2018,February,35
2018,March,41
2018,April,40
2018,May,53
2018,June,43
2018,July,35
2018,August,54
2018,September,49
2018,October,46
2018,November,55
2018,December,26
2019,January,22
2019,February,37
2019,March,50
2019,April,42
2019,May,68
2019,June,56
2019,July,41
2019,August,57
2019,September,62
2019,October,54
2019,November,53
2019,December,29
2020,January,39
2020,February,48
2020,March,39
2020,April,37
2020,May,60
2020,June,57
2020,July,38
2020,August,55
2020,September,57
2020,October,49
2020,November,47
2020,December,25
2021,January,26
2021,February,40
2021,March,36
2021,April,35
2021,May,47
2021,June,42
2021,July,34
2021,August,42
2021,September,41
2021,October,46
2021,November,44
2021,December,22
2022,January,23
2022,February,41
2022,March,56
2022,April,45
2022,May,68
2022,June,66
2022,July,46
2022,August,63
2022,September,53
2022,October,59
2022,November,59
2022,December,27
2023,January,26
2023,February,41
2023,March,55
2023,April,43
2023,May,60
2023,June,53
2023,July,45
2023,August,62
2023,September,52
2023,October,58
2023,November,56
2023,December,28
2024,January,28
2024,February,53
2024,March,55
2024,April,53
2024,May,67
2024,June,69
2024,July,53
2024,August,62
2024,September,61
2024,October,48
