Year,Month,renewable_energy
2004,January,52
2004,February,65
2004,March,37
2004,April,36
2004,May,32
2004,June,27
2004,July,60
2004,August,100
2004,September,51
2004,October,35
2004,November,45
2004,December,54
2005,January,45
2005,February,75
2005,March,43
2005,April,38
2005,May,38
2005,June,31
2005,July,52
2005,August,78
2005,September,65
2005,October,52
2005,November,64
2005,December,41
2006,January,47
2006,February,54
2006,March,44
2006,April,43
2006,May,44
2006,June,38
2006,July,42
2006,August,71
2006,September,51
2006,October,52
2006,November,54
2006,December,38
2007,January,44
2007,February,53
2007,March,46
2007,April,39
2007,May,34
2007,June,47
2007,July,59
2007,August,85
2007,September,57
2007,October,48
2007,November,58
2007,December,48
2008,January,56
2008,February,66
2008,March,54
2008,April,45
2008,May,42
2008,June,59
2008,July,58
2008,August,83
2008,September,64
2008,October,60
2008,November,58
2008,December,68
2009,January,67
2009,February,62
2009,March,55
2009,April,60
2009,May,58
2009,June,86
2009,July,77
2009,August,90
2009,September,69
2009,October,68
2009,November,70
2009,December,61
2010,January,60
2010,February,71
2010,March,61
2010,April,61
2010,May,59
2010,June,58
2010,July,61
2010,August,68
2010,September,51
2010,October,49
2010,November,49
2010,December,51
2011,January,42
2011,February,47
2011,March,39
2011,April,32
2011,May,35
2011,June,36
2011,July,35
2011,August,45
2011,September,36
2011,October,34
2011,November,35
2011,December,28
2012,January,31
2012,February,36
2012,March,30
2012,April,28
2012,May,28
2012,June,31
2012,July,30
2012,August,35
2012,September,35
2012,October,31
2012,November,31
2012,December,26
2013,January,31
2013,February,32
2013,March,29
2013,April,28
2013,May,27
2013,June,27
2013,July,30
2013,August,29
2013,September,30
2013,October,27
2013,November,23
2013,December,22
2014,January,22
2014,February,25
2014,March,20
2014,April,18
2014,May,18
2014,June,22
2014,July,24
2014,August,26
2014,September,26
2014,October,21
2014,November,23
2014,December,23
2015,January,24
2015,February,29
2015,March,23
2015,April,23
2015,May,21
2015,June,22
2015,July,22
2015,August,24
2015,September,26
2015,October,22
2015,November,21
2015,December,25
2016,January,23
2016,February,24
2016,March,22
2016,April,23
2016,May,22
2016,June,25
2016,July,23
2016,August,24
2016,September,23
2016,October,19
2016,November,22
2016,December,21
2017,January,20
2017,February,22
2017,March,19
2017,April,20
2017,May,17
2017,June,15
2017,July,18
2017,August,19
2017,September,20
2017,October,16
2017,November,20
2017,December,19
2018,January,18
2018,February,19
2018,March,16
2018,April,16
2018,May,16
2018,June,15
2018,July,15
2018,August,16
2018,September,17
2018,October,15
2018,November,14
2018,December,15
2019,January,15
2019,February,17
2019,March,14
2019,April,12
2019,May,15
2019,June,15
2019,July,14
2019,August,17
2019,September,18
2019,October,15
2019,November,18
2019,December,15
2020,January,16
2020,February,18
2020,March,13
2020,April,15
2020,May,17
2020,June,17
2020,July,17
2020,August,18
2020,September,22
2020,October,22
2020,November,17
2020,December,23
2021,January,20
2021,February,24
2021,March,28
2021,April,18
2021,May,21
2021,June,25
2021,July,31
2021,August,39
2021,September,31
2021,October,36
2021,November,30
2021,December,29
2022,January,39
2022,February,43
2022,March,35
2022,April,33
2022,May,29
2022,June,27
2022,July,23
2022,August,24
2022,September,26
2022,October,22
2022,November,29
2022,December,29
2023,January,26
2023,February,30
2023,March,26
2023,April,22
2023,May,23
2023,June,26
2023,July,21
2023,August,28
2023,September,25
2023,October,25
2023,November,46
2023,December,50
2024,January,58
2024,February,56
2024,March,34
2024,April,37
2024,May,35
2024,June,37
2024,July,45
2024,August,35
2024,September,40
2024,October,36
