Year,Month,renewable_energy
2004,January,0
2004,February,0
2004,March,0
2004,April,0
2004,May,0
2004,June,0
2004,July,100
2004,August,0
2004,September,0
2004,October,0
2004,November,0
2004,December,0
2005,January,0
2005,February,0
2005,March,0
2005,April,0
2005,May,58
2005,June,0
2005,July,0
2005,August,0
2005,September,46
2005,October,0
2005,November,0
2005,December,0
2006,January,0
2006,February,0
2006,March,0
2006,April,40
2006,May,55
2006,June,0
2006,July,0
2006,August,34
2006,September,0
2006,October,0
2006,November,32
2006,December,0
2007,January,0
2007,February,0
2007,March,0
2007,April,44
2007,May,23
2007,June,35
2007,July,24
2007,August,23
2007,September,38
2007,October,20
2007,November,25
2007,December,0
2008,January,37
2008,February,0
2008,March,23
2008,April,21
2008,May,37
2008,June,29
2008,July,23
2008,August,34
2008,September,28
2008,October,31
2008,November,24
2008,December,0
2009,January,0
2009,February,0
2009,March,32
2009,April,22
2009,May,38
2009,June,29
2009,July,26
2009,August,39
2009,September,32
2009,October,25
2009,November,25
2009,December,0
2010,January,17
2010,February,0
2010,March,24
2010,April,25
2010,May,35
2010,June,29
2010,July,0
2010,August,35
2010,September,25
2010,October,21
2010,November,32
2010,December,14
2011,January,0
2011,February,13
2011,March,26
2011,April,23
2011,May,39
2011,June,29
2011,July,19
2011,August,32
2011,September,33
2011,October,18
2011,November,19
2011,December,9
2012,January,15
2012,February,17
2012,March,20
2012,April,20
2012,May,48
2012,June,31
2012,July,19
2012,August,26
2012,September,29
2012,October,25
2012,November,19
2012,December,10
2013,January,9
2013,February,15
2013,March,18
2013,April,24
2013,May,26
2013,June,27
2013,July,17
2013,August,31
2013,September,19
2013,October,19
2013,November,21
2013,December,13
2014,January,10
2014,February,14
2014,March,26
2014,April,21
2014,May,29
2014,June,37
2014,July,15
2014,August,28
2014,September,21
2014,October,21
2014,November,22
2014,December,8
2015,January,6
2015,February,12
2015,March,20
2015,April,17
2015,May,28
2015,June,37
2015,July,23
2015,August,29
2015,September,23
2015,October,22
2015,November,29
2015,December,10
2016,January,11
2016,February,10
2016,March,17
2016,April,22
2016,May,25
2016,June,29
2016,July,19
2016,August,24
2016,September,26
2016,October,27
2016,November,22
2016,December,13
2017,January,14
2017,February,14
2017,March,20
2017,April,24
2017,May,35
2017,June,27
2017,July,22
2017,August,38
2017,September,28
2017,October,27
2017,November,24
2017,December,12
2018,January,9
2018,February,14
2018,March,18
2018,April,23
2018,May,39
2018,June,36
2018,July,23
2018,August,35
2018,September,28
2018,October,21
2018,November,26
2018,December,13
2019,January,10
2019,February,14
2019,March,25
2019,April,23
2019,May,39
2019,June,30
2019,July,25
2019,August,35
2019,September,27
2019,October,22
2019,November,25
2019,December,10
2020,January,13
2020,February,20
2020,March,19
2020,April,24
2020,May,39
2020,June,32
2020,July,28
2020,August,36
2020,September,38
2020,October,30
2020,November,21
2020,December,13
2021,January,14
2021,February,22
2021,March,23
2021,April,24
2021,May,29
2021,June,30
2021,July,25
2021,August,23
2021,September,26
2021,October,20
2021,November,20
2021,December,10
2022,January,7
2022,February,17
2022,March,27
2022,April,32
2022,May,33
2022,June,33
2022,July,24
2022,August,34
2022,September,32
2022,October,29
2022,November,32
2022,December,12
2023,January,14
2023,February,18
2023,March,28
2023,April,23
2023,May,40
2023,June,34
2023,July,21
2023,August,44
2023,September,34
2023,October,31
2023,November,33
2023,December,18
2024,January,17
2024,February,25
2024,March,26
2024,April,27
2024,May,44
2024,June,34
2024,July,27
2024,August,32
2024,September,41
2024,October,22
