Year,Month,renewable_energy
2004,January,41
2004,February,45
2004,March,46
2004,April,55
2004,May,46
2004,June,43
2004,July,41
2004,August,43
2004,September,46
2004,October,47
2004,November,49
2004,December,44
2005,January,39
2005,February,45
2005,March,48
2005,April,52
2005,May,43
2005,June,43
2005,July,37
2005,August,39
2005,September,47
2005,October,44
2005,November,45
2005,December,38
2006,January,50
2006,February,55
2006,March,54
2006,April,66
2006,May,64
2006,June,48
2006,July,43
2006,August,46
2006,September,49
2006,October,50
2006,November,54
2006,December,46
2007,January,55
2007,February,63
2007,March,61
2007,April,66
2007,May,68
2007,June,57
2007,July,50
2007,August,53
2007,September,53
2007,October,64
2007,November,75
2007,December,64
2008,January,70
2008,February,70
2008,March,76
2008,April,79
2008,May,83
2008,June,69
2008,July,73
2008,August,63
2008,September,82
2008,October,93
2008,November,87
2008,December,90
2009,January,81
2009,February,95
2009,March,95
2009,April,92
2009,May,81
2009,June,77
2009,July,65
2009,August,62
2009,September,71
2009,October,74
2009,November,79
2009,December,68
2010,January,69
2010,February,72
2010,March,80
2010,April,72
2010,May,71
2010,June,59
2010,July,47
2010,August,48
2010,September,56
2010,October,56
2010,November,55
2010,December,50
2011,January,54
2011,February,61
2011,March,58
2011,April,55
2011,May,59
2011,June,50
2011,July,38
2011,August,40
2011,September,44
2011,October,52
2011,November,49
2011,December,41
2012,January,45
2012,February,47
2012,March,47
2012,April,49
2012,May,49
2012,June,36
2012,July,32
2012,August,33
2012,September,41
2012,October,46
2012,November,48
2012,December,36
2013,January,43
2013,February,45
2013,March,49
2013,April,54
2013,May,47
2013,June,30
2013,July,26
2013,August,28
2013,September,35
2013,October,43
2013,November,47
2013,December,37
2014,January,41
2014,February,46
2014,March,48
2014,April,59
2014,May,54
2014,June,35
2014,July,30
2014,August,27
2014,September,41
2014,October,46
2014,November,47
2014,December,43
2015,January,40
2015,February,48
2015,March,52
2015,April,62
2015,May,57
2015,June,34
2015,July,30
2015,August,30
2015,September,39
2015,October,54
2015,November,52
2015,December,51
2016,January,45
2016,February,54
2016,March,54
2016,April,65
2016,May,57
2016,June,29
2016,July,26
2016,August,30
2016,September,39
2016,October,49
2016,November,62
2016,December,51
2017,January,56
2017,February,61
2017,March,62
2017,April,67
2017,May,67
2017,June,45
2017,July,27
2017,August,32
2017,September,39
2017,October,53
2017,November,58
2017,December,50
2018,January,52
2018,February,58
2018,March,58
2018,April,64
2018,May,60
2018,June,30
2018,July,27
2018,August,35
2018,September,41
2018,October,53
2018,November,53
2018,December,49
2019,January,50
2019,February,63
2019,March,62
2019,April,71
2019,May,65
2019,June,34
2019,July,27
2019,August,30
2019,September,47
2019,October,56
2019,November,55
2019,December,49
2020,January,58
2020,February,62
2020,March,55
2020,April,65
2020,May,60
2020,June,35
2020,July,31
2020,August,38
2020,September,53
2020,October,59
2020,November,55
2020,December,51
2021,January,64
2021,February,77
2021,March,56
2021,April,61
2021,May,58
2021,June,38
2021,July,31
2021,August,29
2021,September,39
2021,October,46
2021,November,49
2021,December,41
2022,January,47
2022,February,58
2022,March,73
2022,April,100
2022,May,90
2022,June,46
2022,July,36
2022,August,40
2022,September,52
2022,October,59
2022,November,63
2022,December,58
2023,January,62
2023,February,71
2023,March,74
2023,April,80
2023,May,78
2023,June,40
2023,July,33
2023,August,38
2023,September,52
2023,October,61
2023,November,68
2023,December,58
2024,January,65
2024,February,81
2024,March,77
2024,April,91
2024,May,81
2024,June,39
2024,July,34
2024,August,36
2024,September,52
2024,October,55
