Month,renewable energy
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,100
2004-10,0
2004-11,0
2004-12,0
2005-01,97
2005-02,0
2005-03,0
2005-04,99
2005-05,62
2005-06,65
2005-07,0
2005-08,0
2005-09,91
2005-10,50
2005-11,80
2005-12,59
2006-01,72
2006-02,70
2006-03,78
2006-04,57
2006-05,63
2006-06,54
2006-07,0
2006-08,42
2006-09,48
2006-10,41
2006-11,43
2006-12,49
2007-01,70
2007-02,31
2007-03,46
2007-04,54
2007-05,59
2007-06,41
2007-07,61
2007-08,44
2007-09,45
2007-10,45
2007-11,64
2007-12,44
2008-01,47
2008-02,55
2008-03,65
2008-04,66
2008-05,39
2008-06,46
2008-07,45
2008-08,50
2008-09,48
2008-10,62
2008-11,53
2008-12,38
2009-01,52
2009-02,43
2009-03,68
2009-04,46
2009-05,57
2009-06,56
2009-07,50
2009-08,33
2009-09,44
2009-10,64
2009-11,66
2009-12,34
2010-01,55
2010-02,32
2010-03,64
2010-04,55
2010-05,47
2010-06,33
2010-07,44
2010-08,44
2010-09,45
2010-10,42
2010-11,55
2010-12,42
2011-01,43
2011-02,30
2011-03,60
2011-04,52
2011-05,48
2011-06,31
2011-07,32
2011-08,46
2011-09,38
2011-10,39
2011-11,60
2011-12,42
2012-01,41
2012-02,52
2012-03,55
2012-04,50
2012-05,51
2012-06,49
2012-07,37
2012-08,36
2012-09,46
2012-10,51
2012-11,51
2012-12,41
2013-01,45
2013-02,48
2013-03,49
2013-04,48
2013-05,32
2013-06,30
2013-07,36
2013-08,33
2013-09,51
2013-10,49
2013-11,44
2013-12,37
2014-01,46
2014-02,44
2014-03,51
2014-04,45
2014-05,35
2014-06,39
2014-07,36
2014-08,24
2014-09,47
2014-10,51
2014-11,50
2014-12,38
2015-01,48
2015-02,47
2015-03,53
2015-04,49
2015-05,37
2015-06,43
2015-07,35
2015-08,34
2015-09,46
2015-10,60
2015-11,61
2015-12,58
2016-01,65
2016-02,72
2016-03,72
2016-04,73
2016-05,62
2016-06,57
2016-07,43
2016-08,47
2016-09,57
2016-10,61
2016-11,68
2016-12,43
2017-01,66
2017-02,59
2017-03,78
2017-04,63
2017-05,52
2017-06,66
2017-07,50
2017-08,45
2017-09,62
2017-10,72
2017-11,63
2017-12,47
2018-01,55
2018-02,56
2018-03,62
2018-04,56
2018-05,48
2018-06,45
2018-07,37
2018-08,37
2018-09,50
2018-10,54
2018-11,53
2018-12,40
2019-01,47
2019-02,57
2019-03,55
2019-04,57
2019-05,55
2019-06,57
2019-07,45
2019-08,35
2019-09,66
2019-10,71
2019-11,53
2019-12,48
2020-01,58
2020-02,50
2020-03,51
2020-04,51
2020-05,47
2020-06,43
2020-07,48
2020-08,36
2020-09,58
2020-10,46
2020-11,55
2020-12,43
2021-01,55
2021-02,45
2021-03,56
2021-04,45
2021-05,45
2021-06,41
2021-07,40
2021-08,33
2021-09,45
2021-10,61
2021-11,58
2021-12,51
2022-01,71
2022-02,81
2022-03,77
2022-04,75
2022-05,69
2022-06,59
2022-07,52
2022-08,50
2022-09,76
2022-10,66
2022-11,80
2022-12,57
2023-01,69
2023-02,75
2023-03,72
2023-04,71
2023-05,62
2023-06,58
2023-07,56
2023-08,48
2023-09,65
2023-10,76
2023-11,69
2023-12,61
2024-01,69
2024-02,72
2024-03,81
2024-04,84
2024-05,61
2024-06,67
2024-07,62
2024-08,44
2024-09,76
2024-10,85
