Month,renewable energy
2004-01,52
2004-02,65
2004-03,37
2004-04,36
2004-05,32
2004-06,27
2004-07,60
2004-08,100
2004-09,51
2004-10,35
2004-11,45
2004-12,54
2005-01,45
2005-02,75
2005-03,43
2005-04,38
2005-05,38
2005-06,31
2005-07,52
2005-08,78
2005-09,65
2005-10,52
2005-11,64
2005-12,41
2006-01,47
2006-02,54
2006-03,44
2006-04,43
2006-05,44
2006-06,38
2006-07,42
2006-08,71
2006-09,51
2006-10,52
2006-11,54
2006-12,38
2007-01,44
2007-02,53
2007-03,46
2007-04,39
2007-05,34
2007-06,47
2007-07,59
2007-08,85
2007-09,57
2007-10,48
2007-11,58
2007-12,48
2008-01,56
2008-02,66
2008-03,54
2008-04,45
2008-05,42
2008-06,59
2008-07,58
2008-08,83
2008-09,64
2008-10,60
2008-11,58
2008-12,68
2009-01,67
2009-02,62
2009-03,55
2009-04,60
2009-05,58
2009-06,86
2009-07,77
2009-08,90
2009-09,69
2009-10,68
2009-11,70
2009-12,61
2010-01,60
2010-02,71
2010-03,61
2010-04,61
2010-05,59
2010-06,58
2010-07,61
2010-08,68
2010-09,51
2010-10,49
2010-11,49
2010-12,51
2011-01,42
2011-02,47
2011-03,39
2011-04,32
2011-05,35
2011-06,36
2011-07,35
2011-08,45
2011-09,36
2011-10,34
2011-11,35
2011-12,28
2012-01,31
2012-02,36
2012-03,30
2012-04,28
2012-05,28
2012-06,31
2012-07,30
2012-08,35
2012-09,35
2012-10,31
2012-11,31
2012-12,26
2013-01,31
2013-02,32
2013-03,29
2013-04,28
2013-05,27
2013-06,27
2013-07,30
2013-08,29
2013-09,30
2013-10,27
2013-11,23
2013-12,22
2014-01,22
2014-02,25
2014-03,20
2014-04,18
2014-05,18
2014-06,22
2014-07,24
2014-08,26
2014-09,26
2014-10,21
2014-11,23
2014-12,23
2015-01,24
2015-02,29
2015-03,23
2015-04,23
2015-05,21
2015-06,22
2015-07,22
2015-08,24
2015-09,26
2015-10,22
2015-11,21
2015-12,25
2016-01,23
2016-02,24
2016-03,22
2016-04,23
2016-05,22
2016-06,25
2016-07,23
2016-08,24
2016-09,23
2016-10,19
2016-11,22
2016-12,21
2017-01,20
2017-02,22
2017-03,19
2017-04,20
2017-05,17
2017-06,15
2017-07,18
2017-08,19
2017-09,20
2017-10,16
2017-11,20
2017-12,19
2018-01,18
2018-02,19
2018-03,16
2018-04,16
2018-05,16
2018-06,15
2018-07,15
2018-08,16
2018-09,17
2018-10,15
2018-11,14
2018-12,15
2019-01,15
2019-02,17
2019-03,14
2019-04,12
2019-05,15
2019-06,15
2019-07,14
2019-08,17
2019-09,18
2019-10,15
2019-11,18
2019-12,15
2020-01,16
2020-02,18
2020-03,13
2020-04,15
2020-05,17
2020-06,17
2020-07,17
2020-08,18
2020-09,22
2020-10,22
2020-11,17
2020-12,23
2021-01,20
2021-02,24
2021-03,28
2021-04,18
2021-05,21
2021-06,25
2021-07,31
2021-08,39
2021-09,31
2021-10,36
2021-11,30
2021-12,29
2022-01,39
2022-02,43
2022-03,35
2022-04,33
2022-05,29
2022-06,27
2022-07,23
2022-08,24
2022-09,26
2022-10,22
2022-11,29
2022-12,29
2023-01,26
2023-02,30
2023-03,26
2023-04,22
2023-05,23
2023-06,26
2023-07,21
2023-08,28
2023-09,25
2023-10,25
2023-11,46
2023-12,50
2024-01,58
2024-02,56
2024-03,34
2024-04,37
2024-05,35
2024-06,37
2024-07,45
2024-08,35
2024-09,40
2024-10,36
