Month,renewable energy
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,100
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,58
2005-06,0
2005-07,0
2005-08,0
2005-09,46
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,40
2006-05,55
2006-06,0
2006-07,0
2006-08,34
2006-09,0
2006-10,0
2006-11,32
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,44
2007-05,23
2007-06,35
2007-07,24
2007-08,23
2007-09,38
2007-10,20
2007-11,25
2007-12,0
2008-01,37
2008-02,0
2008-03,23
2008-04,21
2008-05,37
2008-06,29
2008-07,23
2008-08,34
2008-09,28
2008-10,31
2008-11,24
2008-12,0
2009-01,0
2009-02,0
2009-03,32
2009-04,22
2009-05,38
2009-06,29
2009-07,26
2009-08,39
2009-09,32
2009-10,25
2009-11,25
2009-12,0
2010-01,17
2010-02,0
2010-03,24
2010-04,25
2010-05,35
2010-06,29
2010-07,0
2010-08,35
2010-09,25
2010-10,21
2010-11,32
2010-12,14
2011-01,0
2011-02,13
2011-03,26
2011-04,23
2011-05,39
2011-06,29
2011-07,19
2011-08,32
2011-09,33
2011-10,18
2011-11,19
2011-12,9
2012-01,15
2012-02,17
2012-03,20
2012-04,20
2012-05,48
2012-06,31
2012-07,19
2012-08,26
2012-09,29
2012-10,25
2012-11,19
2012-12,10
2013-01,9
2013-02,15
2013-03,18
2013-04,24
2013-05,26
2013-06,27
2013-07,17
2013-08,31
2013-09,19
2013-10,19
2013-11,21
2013-12,13
2014-01,10
2014-02,14
2014-03,26
2014-04,21
2014-05,29
2014-06,37
2014-07,15
2014-08,28
2014-09,21
2014-10,21
2014-11,22
2014-12,8
2015-01,6
2015-02,12
2015-03,20
2015-04,17
2015-05,28
2015-06,37
2015-07,23
2015-08,29
2015-09,23
2015-10,22
2015-11,29
2015-12,10
2016-01,11
2016-02,10
2016-03,17
2016-04,22
2016-05,25
2016-06,29
2016-07,19
2016-08,24
2016-09,26
2016-10,27
2016-11,22
2016-12,13
2017-01,14
2017-02,14
2017-03,20
2017-04,24
2017-05,35
2017-06,27
2017-07,22
2017-08,38
2017-09,28
2017-10,27
2017-11,24
2017-12,12
2018-01,9
2018-02,14
2018-03,18
2018-04,23
2018-05,39
2018-06,36
2018-07,23
2018-08,35
2018-09,28
2018-10,21
2018-11,26
2018-12,13
2019-01,10
2019-02,14
2019-03,25
2019-04,23
2019-05,39
2019-06,30
2019-07,25
2019-08,35
2019-09,27
2019-10,22
2019-11,25
2019-12,10
2020-01,13
2020-02,20
2020-03,19
2020-04,24
2020-05,39
2020-06,32
2020-07,28
2020-08,36
2020-09,38
2020-10,30
2020-11,21
2020-12,13
2021-01,14
2021-02,22
2021-03,23
2021-04,24
2021-05,29
2021-06,30
2021-07,25
2021-08,23
2021-09,26
2021-10,20
2021-11,20
2021-12,10
2022-01,7
2022-02,17
2022-03,27
2022-04,32
2022-05,33
2022-06,33
2022-07,24
2022-08,34
2022-09,32
2022-10,29
2022-11,32
2022-12,12
2023-01,14
2023-02,18
2023-03,28
2023-04,23
2023-05,40
2023-06,34
2023-07,21
2023-08,44
2023-09,34
2023-10,31
2023-11,33
2023-12,18
2024-01,17
2024-02,25
2024-03,26
2024-04,27
2024-05,44
2024-06,34
2024-07,27
2024-08,32
2024-09,41
2024-10,22
