Post,Comment
India will need more than US$300 billion in investment in order to hit its target of producing 500 gigawatts of renewable energy capacity by 2030.,Premium Economy Class needs more than $300 billion....to have access to greener energy...
India will need more than US$300 billion in investment in order to hit its target of producing 500 gigawatts of renewable energy capacity by 2030.,Coal Mining Keeps them going
India will need more than US$300 billion in investment in order to hit its target of producing 500 gigawatts of renewable energy capacity by 2030.,Dunning Kruger syndrome strikes again.
India will need more than US$300 billion in investment in order to hit its target of producing 500 gigawatts of renewable energy capacity by 2030.,ABNN spend $$ on rocket to the moon Instead of long term benefits of the population.
India will need more than US$300 billion in investment in order to hit its target of producing 500 gigawatts of renewable energy capacity by 2030.,spend US$300 billion on birth control better lah............less people = less problems............exporting their people (problems) abroad not sustainable ....
India will need more than US$300 billion in investment in order to hit its target of producing 500 gigawatts of renewable energy capacity by 2030.,Get Funding From Full the top 10 richest in India:
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",No mean task. It appeared very difficult in 2016 but PM Modi has a strong resolve.
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Government is making tall claims but don't have money to pay subsidies to EPC companies who are dying a natural death. Moreover they are killing the solar industry with the concept of gross metering which is favouring only the polluting Discom companies. Less said the better.
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Government in this country achieve all it's targets! Why the effects are not felt on the ground!!!
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Hydro is not really renewable since there is less rainfall compared to consumption.
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Is this enough for such large country
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",We don’t see it in ground. I have setup a roof top solar in my resident. But cannot get a net metering to export extra power that is getting generated. 
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",A lot of developement work done in last few years but the Modi-haters cant see those developements .
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.","Great India, a couple of years again and we would be the world beater in all aspect of things, especially in cricket."
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.","WIND NOT TO DO ANY GOOD IT WAS DECLARED FAILURE BY MIGRANT RULERS  WHO ARE 3% IN POPULATION , BUT DROHI  JADIE IN INDIA , HATE THIS ENERGY SOURCE USED TO EMPOWER  FARMERS OF TMILAGAM !"
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Ye sab karne se kya hoga... desh ka musalman dara hua hai.... uske liye kuchh karo....
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Bloody fools how much is actual generation
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Ye post to Modi ki tareef ka hai.... mudi must resign wala koi post dalo
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Government must think seriously in giving to contractors for maintenance & defects & liability period for minimum 10 years. 
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.","One way to plan our future and that of our children is Investment, I Invest in cryptocurrency and I earn from home, I started small and ever since I started Investing, I have been receiving my profit smoothly without any problem. Don't just invest your money in anyone hands, invest with someone trusted and experience in cryptocurrency trading..click on the name and contact Mr Abraham Hartl"
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Tamil Nadu is the only state to deinsentivise solar. Firstly the trouble the people thinking of solar by not giving a proper installation procedure. Then there is the payment of Rs2.08 for the surplus power fed to the grid as against their charges of Rs 5 for larger domestic consumers.
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.","Those who doubt the veracity of the claims by government achievements, make an application to government under right to information to provide details of the projects completed.  And compare whether they facts or not."
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Peoples electricity bills are only doubling
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Great news  
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Meanwhile Pak is installing Taliban and is reverting back to medieval sadist age 
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",To provide electricity and benefit for 1.3 billion citizens is not only difficult but also impossible. India is working consistently harder to develop  nation and its values. Thank you all for your hard work and contribution.
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",clean energy
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Good work modi government 
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Great progress on solar energy 
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Good
"The govt had set an initial target of installing 175 GW of renewable energy capacity, including wind, solar, and hydro, by 2022. It later raised this target to 450 GW by 2030.",Gd job modi government
