Post,Comment
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,"If there is no Sun for a day or two, what to do? At night time?Intermittent energy supply? Fridge is working, fridge is not working? So, there must be a secondary, main source of electricity, constant supply. Solar is just additional, not a major source of energy. It is to add, not to substitute."
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,Wow!
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,How long until every panel is replaced and what happens to them then
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,Rump gonna be mad because we’re making sustainable clean energy for health and more reliable energy. 
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,That's great news  Renewable ernergy is the future
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,The brain-dead trolls on this article are truly something to behold
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,Solar panels are contributing to global warming. Same as asphalt parking lots
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,How much more obvious this should be in a country with Indian climate. This should be a no brainer.
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,Look at all the extra heat created by the solar panels 
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,"Connect with Mr Calder Barron , he's running a program that you will surely thank me later for referring you https://www.facebook.com/Calderbarron6467?mibextid=ZbWKwL"
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,Thank you so much Mr Theodore Mason  for the huge successful profit withdrawal. I invested and I get my returns of investment from your company and this is my first time withdraw am so glad it's the best decision I have made so far. I really can't appreciate you enough for your good work of helping and changing people lives through trading. God bless you   
The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,"The crypto market crash was a great opportunity for those who believe in crypto. Currently the bull market is on a rage and  crypto is pumping good at a rapid rate. So, if you really believe in crypto, you should be excited for the recent signs in the bear market because it'll give you a head start above others and that's why I invest with Mr Theodore Mason a crypto trade expert."
Billionaire Gautam Adani got rich off coal. Now his company is building a green energy plant the size of Chicago.The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,"If there is no Sun for a day or two, what to do? At night time?Intermittent energy supply? Fridge is working, fridge is not working? So, there must be a secondary, main source of electricity, constant supply. Solar is just additional, not a major source of energy. It is to add, not to substitute."
Billionaire Gautam Adani got rich off coal. Now his company is building a green energy plant the size of Chicago.The sprawling solar and wind energy plant will generate enough electricity to power 16 million homes in India.,How long until every panel is replaced and what happens to them then
