Post,Comment
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,Net zero is impossible.  Plants and humans and earth can't do it.
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,"Why do you always see steaming cooling [ water vapour] towers, it only excites the greens who are convinced its pollution"
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,"it shouldn’t be needed in Australia and doesn’t fit the timeframes. Would take 20  to 30 years  or even more to get one up and running in Australia, if it could happen at all. It would produce energy more expensively than renewables.The contemporary possibility of SMRs are currently very early in their development and apparently produce energy at twice the cost  of traditional reactors."
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,Nothing straight forward about labour
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,Please don’tWe are humans and humans make mistakes and then Chernobyl here we come!
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,Of course it is. Why don’t the opposition state this more aggressively?
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,It’s an election winner. Bowen will bend over as he done time and time again!
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,‘Affordable’ from a politician can have varying meanings.And where is the nuclear fuel coming from the only two options are Russia and China.
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,Great ideas these pollies have...let's turn Australia into another Chernobyl
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,"Swet, no emissions... but the fuel rods do eventually need to be gotten rid of as they become less effective as fuel for the reactor.... and they are terribly radioactive, so, where do we put them?  Bury them in the nearest Politicians back yard?  If that is the case, lets go!!"
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,But it doesn’t make any money for investors!
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,Just imagine an energy source where nothing in our lives and economy had to change.  Electric cars would actually be green . No wasteful wind and solar farms that soak up subsidies and are at best transitional . Oh yeah that's nuclear .
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,Problem is anything that is a great option isn’t affordable to generate power as it’s all about the feel good sensation of spending many more millions/ billions on a power generation system that is not going to be suitable to supply 24/7 power load’s for decades
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,It sure is plain logic
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,Couldn’t possibly do that too simple
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,Colin Vlug
Nationals MP Keith Pitt says nuclear energy is a “pretty straightforward” alternative in providing reliable and affordable energy while producing zero emissions.,But Mr. Pitt it doesn't suit the elites and corporates of our country as they couldn't reap in all of those government handouts for using renewables. Its all about the money!!!!!
