Post,Comment
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Now that is common sense and a logical choice..But unfortunately with an ALP government who worships the climate change cult religion there is absolutely NO hope of any common sense or logical thinking.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","We are so far from Renewable reliance, when Wind Turbines have to be ""Switched Off"" when the wind is too strong, and the Solar Energy Storage, is not able to sustain the Load for any significant time frame when the sun goes down.. Lets go Nuclear. It might cost more to build, but the Infrastructure is already in place, and it is Completely Clean and Reliable.!!!"
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Germany who followed the climate change agenda to the letter are in an energy crisis. They are refurbishing  coal fired energy plant's considering continuing with nuclear plants!! renewables are not reliable and do not provide base load power.  Australia needs to take note .and stop implementing this climate change madness!!
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","You can not shut one source of power until the other one is up and running and affordable prices for everyday families. It okay for the wealthy they won’t be affected and as for climate change if they think that we can change the weather  they are living in a dream ,as long asChina and India  do nothing the rest of the world are wasting their  time and causing suffering to their people "
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Maybe when there are continuous black outs in Victoria and people are faced with continuing cost of power some of these lefty politicians will see the error of their ways.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","No hope with the climate change cult worshippers we have now. When the country has no power and is destitute, they’ll just blame the previous government/ China/ Russia. We need to build new coal fired power stations, stop selling all our coal cheap overseas then invest in nuclear power."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","The quickest simplest solution yes, but a long term reliable solution is nuclear."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","100% correct. But with crazies in power, this will never happen. In fact, the ideological fools have now started on coal mines by banning a Clive Palmer project."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","No, I think nuclear energy/ fusion is the most clean, efficient way forward. Nuclear energy needs to be part of the solution with Gas and clean coal. Solar and wind are not self sustainable, and unreliable for mass energy production, without impacting the environment."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",So very true and easy.. Albo is brain washed by climate change so I can not see him doing the one thing that will help us all to have more reliable cheaper power ..
