Post,Comment
"The climate crisis calls for an examination of alternatives to our energy generation, particularly the peaceful use of nuclear power. A clean, sustainable, efficient source of power is essential.","They take ten years to build, cost about ten billion US dollars, and last about 40 years. Then they cost another half a billion to safely tear down."
"The climate crisis calls for an examination of alternatives to our energy generation, particularly the peaceful use of nuclear power. A clean, sustainable, efficient source of power is essential.",It would not be wise  in our tectonically unstable country
"The climate crisis calls for an examination of alternatives to our energy generation, particularly the peaceful use of nuclear power. A clean, sustainable, efficient source of power is essential.","Lol, no.Too expensive plus the cost of transmission infrastructure. Better to spend some of that money on domestic PV, solar farms and other smaller scale localised (and ideally community owned) generation. It’s the only way to reduce the cost to consumers."
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Billions and billions of dollars have been spent trying to get fusion to work. A few seconds of success that usually takes more input energy than the output. If it was reasonably achievable like fission it would have been found by now. Dream time it seems to me. Maybe there are good reasons why the nearest fusion reactor is 92 million miles away. What we should be trying to achieve is a greater solar power efficiency but there seems to be quanta reasons that tis tops out around 18 percent.
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Just question isn't NZ NUCLEAR FREE.  not really sure it will be allowed.  And more importantly who is going to fund this in NZ it will never be cost effective it will take billions to develop and we don't have it and it is presently not allowed in NZ.  Much respect for trying.
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,"I wish him well. Fusion has been well-understood for decades, but turning it into a safe and reliable form of energy generation poses significant engineering challenges. Firstly, contain the reaction. Secondly, ensure you get more energy out than you put in over a sustained period of time. "
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,It’s our best option atm I reckon
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,I'm so disappointed. I was expecting these comments to be filled with boomers ranting about how evil nuclear power is but everyone is being entirely sensible and optimistic about this 
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,we all need to support this in a big way
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,New Zealand don't need this.we got wind and water .... We don't need the world..we have all we need ....
