Post,Comment
"Reaching 100 percent renewable energy in New Zealand sounds like a great statistic to boast about, but is it the best way of arresting climate change?","Climate change is a natural cyclic event, nothing we do will change it.  "
"Reaching 100 percent renewable energy in New Zealand sounds like a great statistic to boast about, but is it the best way of arresting climate change?","A Wet Dream for idiots. Will not work, never happen."
"Reaching 100 percent renewable energy in New Zealand sounds like a great statistic to boast about, but is it the best way of arresting climate change?",You cannot arrest climate change. It is naturally occurring.
"Reaching 100 percent renewable energy in New Zealand sounds like a great statistic to boast about, but is it the best way of arresting climate change?",Climate change is a con. Tax can’t solve COVID-19 either. 
"Reaching 100 percent renewable energy in New Zealand sounds like a great statistic to boast about, but is it the best way of arresting climate change?",https://www.newconservative.org.nz/.../emissions-management/
The Detail: Renewable energy aims are off targetNew Zealand's not far off achieving 100 percent renewable energy - but is that really our best bet for combating climate change?,"Climate change is a natural cyclic event, nothing we do will change it.  "
The Detail: Renewable energy aims are off targetNew Zealand's not far off achieving 100 percent renewable energy - but is that really our best bet for combating climate change?,"A Wet Dream for idiots. Will not work, never happen."
The Detail: Renewable energy aims are off targetNew Zealand's not far off achieving 100 percent renewable energy - but is that really our best bet for combating climate change?,Climate change is a con. Tax can’t solve COVID-19 either. 
The Detail: Renewable energy aims are off targetNew Zealand's not far off achieving 100 percent renewable energy - but is that really our best bet for combating climate change?,You cannot arrest climate change. It is naturally occurring.
The Detail: Renewable energy aims are off targetNew Zealand's not far off achieving 100 percent renewable energy - but is that really our best bet for combating climate change?,https://www.newconservative.org.nz/.../emissions-management/
40% of New Zealand’s total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018 according to a new report.,Renewables include hydroelectricity and geothermal power.... both of which already contribute the majority of NZ power production
40% of New Zealand’s total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018 according to a new report.,"Have we not noticed Big Biz, Foreign owned News corp, Mining interests, and the Oz LNP Gov, have joined forces in attacking the Ardern Gov in NZ? The reason is simple she  sets an example of what a Gov for the people actually looks like and how it performs in advancing the country and it's citizens, a Gov actively implementing policies to help protect the planet we all rely on for our survival Her Gov running the Country for the benefit of New Zealanders Not the Corporate free loaders..  Our PM Morrison ? His brilliant effort at taking Oz into the technological age is Gut funding to Oz research facilities, yet  give the Mad man in the White House,  Donald trump $150 Mil to enhance the US Space exploration technology?. And if you believe Oz will derive any benefit from that you are off with the fairies."
40% of New Zealand’s total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018 according to a new report.,Solar Quotes looks like a lobby group.
40% of New Zealand’s total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018 according to a new report.,"Long way ahead of Aus, i I thing coal fired power stations have not been used for many years,"
40% of New Zealand’s total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018 according to a new report.,Go new zealand
40% of New Zealand’s total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018 according to a new report.,Ash Steve Daniel
40% of New Zealand’s total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018 according to a new report.,Takes a lot of electricity to grow sheep.
New Zealand Edges Closer Towards Achieving Renewable Energy Target40% of New Zealand's total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018.,Renewables include hydroelectricity and geothermal power.... both of which already contribute the majority of NZ power production
New Zealand Edges Closer Towards Achieving Renewable Energy Target40% of New Zealand's total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018.,"Have we not noticed Big Biz, Foreign owned News corp, Mining interests, and the Oz LNP Gov, have joined forces in attacking the Ardern Gov in NZ? The reason is simple she  sets an example of what a Gov for the people actually looks like and how it performs in advancing the country and it's citizens, a Gov actively implementing policies to help protect the planet we all rely on for our survival Her Gov running the Country for the benefit of New Zealanders Not the Corporate free loaders..  Our PM Morrison ? His brilliant effort at taking Oz into the technological age is Gut funding to Oz research facilities, yet  give the Mad man in the White House,  Donald trump $150 Mil to enhance the US Space exploration technology?. And if you believe Oz will derive any benefit from that you are off with the fairies."
New Zealand Edges Closer Towards Achieving Renewable Energy Target40% of New Zealand's total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018.,Solar Quotes looks like a lobby group.
New Zealand Edges Closer Towards Achieving Renewable Energy Target40% of New Zealand's total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018.,"Long way ahead of Aus, i I thing coal fired power stations have not been used for many years,"
New Zealand Edges Closer Towards Achieving Renewable Energy Target40% of New Zealand's total energy supply and 84% of electricity consumed in the country came from renewable energy sources in 2018.,Go new zealand
