Post,Comment
New Zealand is already generating most of its electricity from renewable sources. It's now also discussing offshore wind power.,New Zealand is a very different proposition to Australia. The size for a start!
New Zealand is already generating most of its electricity from renewable sources. It's now also discussing offshore wind power.,"This wind and solar is only going to destroy Australia we need more Coal, Gas an NUCLEAR that is the only thing that will save Australia"
New Zealand is already generating most of its electricity from renewable sources. It's now also discussing offshore wind power.,Wind turbines alter air flow patterns and therefore alter the climate. Expensive and polluting wildlife killers 
The untapped power of ocean winds – why New Zealand is looking offshore for future renewable energy,New Zealand is a very different proposition to Australia. The size for a start!
The untapped power of ocean winds – why New Zealand is looking offshore for future renewable energy,"This wind and solar is only going to destroy Australia we need more Coal, Gas an NUCLEAR that is the only thing that will save Australia"
The untapped power of ocean winds – why New Zealand is looking offshore for future renewable energy,Wind turbines alter air flow patterns and therefore alter the climate. Expensive and polluting wildlife killers 
Last night I had the opportunity to meet with the Taranaki Offshore Partnership in Parliament to discuss wind energy. The potential for New Zealand is huge.,If taranaki loses oil and gas we be stuffed here be like taking farming out of taranaki no jobs no money
Last night I had the opportunity to meet with the Taranaki Offshore Partnership in Parliament to discuss wind energy. The potential for New Zealand is huge.,Karen Bullock thankfully for Taranaki we are the only province that still has the gas industry after this Govt removed the opportunities elsewhere.
Last night I had the opportunity to meet with the Taranaki Offshore Partnership in Parliament to discuss wind energy. The potential for New Zealand is huge.,Barbara Kuriger MP  will national restore the ability to apply for exploration licenses. Or has that ship sailed with too many hoops to jump through?
Last night I had the opportunity to meet with the Taranaki Offshore Partnership in Parliament to discuss wind energy. The potential for New Zealand is huge.,"Shirley Trumper yes we will reinstate the ability, but we do question whether the investment will return."
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,@followers
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,#Mi #fypシ #WeekendVibes #followerseveryone
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,@highlight
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,Good morning
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,Nice windmill
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,Beautiful day beautiful place 
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,Hello ma'am Judy D Puckett good morning po 
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,Awesome 
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,Absolutely amazing
New Zealand windmill.  Windmills convert wind energy into electrical energy #windmill #fypシ #sheep #NatureLovers #Mi #WeekendVibes #everyone,Wow  galing nman dyan  ma'am 
